2020-11-30 10:34:28.398 [mini-cluster-io-thread-1] INFO  o.a.f.r.d.DispatcherRestEndpoint -http://localhost:23579 was granted leadership with leaderSessionID=abd3b32c-91b7-4fed-92ad-06ad71039695
2020-11-30 10:34:28.399 [mini-cluster-io-thread-1] INFO  o.a.f.r.h.n.e.EmbeddedLeaderService -Received confirmation of leadership for leader http://localhost:23579 , session=abd3b32c-91b7-4fed-92ad-06ad71039695
2020-11-30 10:34:28.429 [main] INFO  o.a.f.r.rpc.akka.AkkaRpcService -Starting RPC endpoint for org.apache.flink.runtime.resourcemanager.StandaloneResourceManager at akka://flink/user/resourcemanager .
2020-11-30 10:34:28.449 [main] INFO  o.a.f.r.rpc.akka.AkkaRpcService -Starting RPC endpoint for org.apache.flink.runtime.dispatcher.StandaloneDispatcher at akka://flink/user/dispatcher .
2020-11-30 10:34:28.515 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.h.n.e.EmbeddedLeaderService -Proposing leadership to contender org.apache.flink.runtime.resourcemanager.StandaloneResourceManager@2136ceb2 @ akka://flink/user/resourcemanager
2020-11-30 10:34:28.516 [flink-akka.actor.default-dispatcher-5] INFO  o.a.f.r.h.n.e.EmbeddedLeaderService -Proposing leadership to contender org.apache.flink.runtime.dispatcher.StandaloneDispatcher@3c0d4c54 @ akka://flink/user/dispatcher
2020-11-30 10:34:28.519 [main] INFO  o.a.f.r.minicluster.MiniCluster -Flink Mini Cluster started successfully
2020-11-30 10:34:28.530 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.d.StandaloneDispatcher -Dispatcher akka://flink/user/dispatcher was granted leadership with fencing token 5e86ac2b-8a60-4c49-a0d9-b5de85b940c6
2020-11-30 10:34:28.531 [flink-akka.actor.default-dispatcher-5] INFO  o.a.f.r.r.StandaloneResourceManager -ResourceManager akka://flink/user/resourcemanager was granted leadership with fencing token a4057bb1e63849bb433bab8f55af4ef5
2020-11-30 10:34:28.535 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.d.StandaloneDispatcher -Recovering all persisted jobs.
